scope_id	claim_id	source_id	geography_or_community	language	script_direction	visual_density_convention	communication_context	expertise_or_fluency	domain_culture	institutional_context	accessibility_or_cognitive_context	device_or_infrastructure	represented_or_missing	notes
CS001	W1-TAC-001	S003	Western Europe/US and China-influenced contexts	multiple / conceptual	mixed	unknown	think-aloud evaluator relationship	mixed	usability evaluation	research lab/evaluation	unknown	desktop evaluation context	represented	Coarse East/West framing is retained only as boundary evidence, not as a causal taxonomy.
CS002	W1-TAC-001	S004	multiple communities across reviewed studies	multiple	mixed	mixed	community/lived-experience sensitive	mixed	digital technology	mixed	mixed	mixed	represented	Review supports socio-cultural sensitivity beyond nationality.
CS003	W1-TAC-001		Hebrew-speaking Israeli owner-builder context	Hebrew	RTL	unknown	direct conversational design critique	expert owner / non-designer vocabulary	product design	independent builder	unknown	desktop/mobile	missing	This is Neta's primary intended context but Wave 1 has not yet produced independent external replication in it.
CS004	W1-HIE-001	S006	international participant sample	multiple / web study	mixed	measured visual complexity preferences	visual preference rating	mixed	web aesthetics	consumer/research	unknown	desktop web	represented	Large cross-background sample supports preference variation, not universal hierarchy thresholds.
CS005	W1-HIE-001	S010	Jordan; Syria; Yemen; Sudan; Morocco; Tunisia; Algeria; Bahrain; Qatar; Oman	Arabic	RTL	varied government web conventions	public information	mixed	government web	ministries	unknown	web	represented	Observed interface characteristics do not fully follow Hofstede-derived expectations.
CS006	W1-HIE-001	S005	laboratory visual-perception context	language-light	N/A	controlled grouping displays	perceptual judgment	mixed	visual perception	laboratory	unknown	static visual stimuli	represented	Evidence for grouping mechanism has low direct cultural content; cross-cultural invariance is not established here.
CS007	W1-HIE-001		CJK mobile/product interfaces	CJK	mixed	potentially high-density conventions	product execution/exploration	mixed	consumer/product	mixed	mixed	mobile	missing	Needed before turning density preferences into broad prescriptions.
CS008	W1-AES-001	S006	international participant sample	multiple	mixed	complexity/colorfulness directly measured	visual appeal	mixed	web aesthetics	consumer/research	unknown	desktop web	represented	Strong evidence that preferred visual intensity varies by background.
CS009	W1-AES-001	S010	10 Arab countries	Arabic	RTL	varied	government/public information	mixed	government web	ministries	unknown	web	represented	Shows intra-regional design variation and limits country-dimension prediction.
CS010	W1-AES-001	S007	web users in scale-development studies	study language/context limited	LTR likely	classical vs expressive aesthetics	website evaluation	mixed	web aesthetics	research	unknown	web	represented	Construct separation is represented; broad cultural equivalence is not established.
CS011	W1-AES-001		Hebrew/Israeli contemporary-product aesthetics	Hebrew	RTL	unknown	owner-builder craft judgment	mixed	product/SaaS	independent builder	unknown	desktop/mobile	missing	"Windows XP" as a metaphor remains owner-language prior until locally discriminated.
CS012	W1-FBK-001	S011	mobile-app study context	study language not material	LTR likely	N/A	waiting/progress feedback	mixed	mobile interaction	research	unknown	mobile	represented	Device and wait-duration context are better-evidenced moderators here than nationality.
CS013	W1-FBK-001	S012	web accessibility contexts	multiple	mixed	N/A	status communication	assistive-technology users	web applications	standards/accessibility	blind/low-vision; cognitive accessibility benefit	web + assistive tech	represented	Status semantics must work across modalities; this is normative guidance rather than culture-preference evidence.
CS014	W1-FBK-001		non-web native apps / low-connectivity settings	multiple	mixed	N/A	feedback under unstable/slow infrastructure	mixed	product interaction	mixed	mixed	mobile/native/variable network	missing	Important boundary before adopting response-time conventions globally.
CS015	W1-COG-001	S014	learning/problem-solving studies	English-language research context	LTR	N/A	instructional/problem solving	novice/expert distinction central	learning	education/research	cognitive load	mixed	represented	Expertise and element interactivity are explicit moderators; culture is not directly established.
CS016	W1-COG-001	S016	information-seeking research	mixed/abstract	mixed	information environments	foraging/search	mixed	information seeking	research	attention as limited resource	mixed	represented	Supports task-relative value rate rather than minimal information.
CS017	W1-COG-001		low-literacy / neurodivergent / multilingual product use	multiple	mixed	unknown	mixed	varied	product interaction	mixed	cognitive/accessibility differences	mixed	missing	Needed before broad cognitive-cost prescriptions.
CS018	W1-NAV-001	S017	consumer choice studies	predominantly Western research corpus	LTR likely	choice-set presentation	consumer choice	mixed	consumer decisions	research	decision complexity	mixed	represented	Strong heterogeneity within studied contexts; limited cultural breadth.
CS019	W1-NAV-001	S019	consumer decision meta-analysis	predominantly Western research corpus	LTR likely	choice-set complexity	consumer choice	mixed	consumer decisions	research	preference uncertainty/task difficulty	mixed	represented	Moderators support conditional visible-choice rules.
CS020	W1-NAV-001		expert tool / command-palette cultures	multiple	mixed	potentially dense	fast expert exploration	expert	professional tools	workplace	unknown	desktop	missing	A key boundary for "state dictates next action" versus expert visible-choice benefits.
CS021	W1-TRU-001	S023	United States and China	English/Chinese	LTR/CJK	N/A	service-robot adoption	consumer	AI/service robotics	hospitality	trust	service robot	represented	Cross-national and individual-cultural moderation observed; not a deterministic country rule.
CS022	W1-TRU-001	S021	multiple automation studies	multiple	mixed	N/A	human-automation trust	mixed	multiple automation domains	mixed	dispositional/situational/learned trust	mixed	represented	Systematic review explicitly models trust as multi-layer and context-dependent.
CS023	W1-TRU-001	S022	online job-applicant decision context	study population unspecified here	mixed	N/A	AI-supported hiring decisions	mixed	AI decision support	hiring	decision accuracy/reliance	web	represented	Explanations can raise reliance on wrong outputs; context-specific primary evidence.
CS024	W1-TRU-001		RTL/Hebrew high-stakes AI decision support	Hebrew	RTL	unknown	explanation/uncertainty	mixed	AI decision support	mixed	mixed	web/mobile	missing	Needed for local trust-language and directionality effects.
CS025	W1-INS-001	S025	multiple behavioral-study samples	multiple / mostly Western literature	mixed	N/A	intention/self-prediction measurement	mixed	behavior change	research	measurement reactivity	mixed	represented	Question-behavior effect varies by behavior desirability, difficulty and sample.
CS026	W1-INS-001	S026	health-behavior RCTs	multiple study populations	mixed	N/A	measurement vs no measurement	mixed	health behavior	clinical/research	behavioral reactivity	mixed	represented	Large n but domain-specific; reactivity effect is small and heterogeneous.
CS027	W1-INS-001	S028	online psychometric testing	study population 286 participants	LTR likely	N/A	adaptive vs fixed assessment	mixed	psychometrics	research	precision/effort	web	represented	Adaptive precision does not imply lower effort or better experience.
CS028	W1-INS-001		live chess decision under pre-engine commitment	multiple	mixed	N/A	measurement during natural decision	chess expertise	chess decision measurement	consumer/research	reactivity/instrument contamination	web/mobile	missing	This is the exact Neta/Lichess transfer case and still needs field measurement rather than literature substitution.
