contradiction_id	claim_id	source_id	contradiction_type	description	disposition	child_claim_ids	resolution_notes
C001	W1-TAC-001	S001	NARROWS	Verbalization is not uniformly non-reactive: simple concurrent think-aloud had near-zero accuracy effect, while directed explanation/description changed performance and all verbal protocols increased time.	NARROWS		Neta may elicit concrete description before vocabulary, but must not treat explanatory questioning as neutral measurement.
C002	W1-TAC-001	S003	CONTEXTUALIZES	Think-aloud instructions, verbalization, evaluator interpretation and evaluator-user relationship can vary with cultural cognition.	CONTEXTUALIZES		Do not encode one universal elicitation script; preserve room for language, relationship and communication-context adaptation.
C003	W1-HIE-001	S006	CONTEXTUALIZES	Preferences for visual complexity and colorfulness vary strongly across participant backgrounds.	CONTEXTUALIZES		Perceptual organization can be diagnosed structurally, but the preferred amount/intensity of visual complexity cannot be inferred from a universal aesthetic norm.
C004	W1-HIE-001	S010	CONTEXTUALIZES	Hofstede-derived country/group predictions did not fully match observed design characteristics across 10 Arab countries.	CONTEXTUALIZES		Country labels are sampling descriptors, not direct mechanisms for hierarchy rules.
C005	W1-AES-001	S009	MEASUREMENT_CONFLICT	A controlled study found aesthetics did not affect perceived usability, while usability affected post-use aesthetics, contrary to a simple beauty→usability causal reading.	MEASUREMENT_CONFLICT		Split aesthetic appraisal from task usability and from perceived usability; do not infer causal direction from correlation.
C006	W1-AES-001	S006	CONTEXTUALIZES	Peak visual appeal for complexity/colorfulness varied by country, gender and education.	CONTEXTUALIZES		Perceived modernity/craft and aesthetic preference require target-context evidence; structural coherence is not a complete proxy for liking.
C007	W1-FBK-001	S011	SPLITS	Changing feedback type altered perceived waiting, but a feedback style that reduced perceived duration did not necessarily improve the short-wait experience.	SPLITS		Separate actual latency, perceived duration, acknowledgement, progress comprehension and preference; do not use one as a proxy for the others.
C008	W1-FBK-001	S012	NARROWS	Status feedback is useful but W3C explicitly warns that excessive live updates can make an interface too chatty.	NARROWS		The capability is timely/salient acknowledgement appropriate to state and modality, not maximum feedback.
C009	W1-COG-001	S017	NARROWS	Across choice-overload experiments, fewer options had virtually zero mean benefit and large heterogeneity.	NARROWS		Do not equate fewer elements/options with lower useful cognitive cost; diagnose task complexity and relevance.
C010	W1-NAV-001	S017	NARROWS	Choice overload is not ubiquitous; some studies find no harm or benefits from more options.	NARROWS		One-primary-action cannot be a universal visible-choice rule.
C011	W1-NAV-001	S019	CONTEXTUALIZES	Choice set complexity, task difficulty, preference uncertainty and decision goal moderate overload.	CONTEXTUALIZES		Classify execution/exploration mode and decision conditions before suppressing alternatives.
C012	W1-TRU-001	S022	REFUTES	For inaccurate AI outputs, explanations increased trusting behavior rather than helping users reject bad outputs.	REFUTES		Reject any rule that treats higher trust or more explanation as success. The target remains correctness-sensitive reliance.
C013	W1-TRU-001	S023	CONTEXTUALIZES	US/China service-robot data found cultural dimensions moderated several trust/intention relationships.	CONTEXTUALIZES		Trust presentation and interpretation may need context evidence; do not infer individual behavior from nationality.
C014	W1-TRU-001	S024	SPLITS	Explanation affected behavioral reliance/accuracy differently from self-reported trust, especially by task capacity.	SPLITS		Keep subjective trust, behavioral reliance and decision performance as separate outcomes.
C015	W1-INS-001	S001	NARROWS	Simple think-aloud and directed explanation have materially different reactivity profiles.	NARROWS		Probe design must distinguish low-directiveness observation from explanatory intervention.
C016	W1-INS-001	S025	CONTEXTUALIZES	Asking intention/self-prediction questions has a measurable small effect on later behavior with moderators.	CONTEXTUALIZES		A diagnostic question can become part of the intervention; timing and content are validity variables.
C017	W1-INS-001	S026	CONTEXTUALIZES	Updated RCT meta-analysis finds a smaller but persistent question-behavior effect with substantial heterogeneity and bias concerns.	CONTEXTUALIZES		Do not assume probe reactivity is large or absent; preserve it as a measurable risk.
C018	W1-INS-001	S028	NARROWS	Adaptive testing improved precision but did not automatically improve experience and could increase effort.	NARROWS		Information efficiency and subjective/cognitive cost must be assessed separately.
