source_id	capability_family	citation	url_or_locator	source_type	discipline	population_or_context	culture_axes	independence_family	primary_or_secondary	claim_ids	notes
S001	W1;W8	Fox MC, Ericsson KA, Best R. Do procedures for verbal reporting of thinking have to be reactive? Psychological Bulletin. 2011;137(2):316-344. doi:10.1037/a0021663	https://pubmed.ncbi.nlm.nih.gov/21090887/	meta-analysis	cognitive psychology	94 studies; nearly 3500 participants	verbalization protocol; task context	FOX-TA-2011	secondary	W1-TAC-001;W1-INS-001	Simple concurrent think-aloud effect on accuracy ~zero; directed explaining/describing is reactive; all verbal procedures increase completion time.
S002	W1	Schön DA. Designing as reflective conversation with the materials of a design situation. Knowledge-Based Systems. 1992;5(1):3-14. doi:10.1016/0950-7051(92)90020-G	https://www.sciencedirect.com/science/article/pii/095070519290020G	theory / design analysis	design studies	design practice	professional design world; material context	SCHON-REFLECTION	secondary	W1-TAC-001	Design knowledge develops through seeing-moving-seeing and reflective conversation; useful adjacent theory, not field proof of Neta.
S003	W1	Clemmensen T, Hertzum M, Hornbæk K, Shi Q, Yammiyavar P. Cultural cognition in usability evaluation. Interacting with Computers. 2009;21(3):212-220. doi:10.1016/j.intcom.2009.05.003	https://www.sciencedirect.com/science/article/pii/S0953543809000344	conceptual synthesis grounded in prior empirical work	cross-cultural HCI	Western/Eastern framing in think-aloud evaluation	instructions; verbalization; evaluator reading; relationship	CLEMMENSEN-TA-CULTURE	secondary	W1-TAC-001	Useful boundary evidence; its East/West framing is itself coarse and must not be promoted as a causal country rule.
S004	W1;W2;W3;W7	A Panoramic View of Socio-Cultural Sensitivity in Digital Technologies: A Comprehensive Review and Future Directions. International Journal of Human-Computer Interaction. 2024. doi:10.1080/10447318.2024.2372135	https://www.tandfonline.com/doi/full/10.1080/10447318.2024.2372135	comprehensive review	socio-cultural HCI	45 included papers from 235 screened	lived experience; individual/community values	SOCIOCULTURAL-REVIEW-2024	secondary	W1-TAC-001;W1-HIE-001;W1-AES-001;W1-TRU-001	Supports context/community-value sensitivity; does not justify national stereotypes.
S005	W2	Palmer SE. Common region: A new principle of perceptual grouping. Cognitive Psychology. 1992;24(3):436-447. doi:10.1016/0010-0285(92)90014-S	https://www.sciencedirect.com/science/article/pii/001002859290014S	primary experiments / demonstrations	perceptual psychology	visual grouping tasks	low direct culture relevance; visual organization	PALMER-COMMON-REGION	primary	W1-HIE-001	Common region strongly affects grouping and can overcome proximity/similarity; supports separating grouping from quantity.
S006	W2;W3	Reinecke K, Gajos KZ. Quantifying Visual Preferences Around the World. CHI 2014:11-20.	https://www.eecs.harvard.edu/~kgajos/papers/2014/reinecke14visual.shtml	large-scale empirical study	HCI / visual aesthetics	2.4 million ratings; nearly 40000 participants	country; gender; education; visual complexity; colorfulness	REINECKE-GAJOS-2014	primary	W1-HIE-001;W1-AES-001	Peak appeal for complexity/colorfulness varies strongly with participant background; direct evidence against universal aesthetic preference settings.
S007	W3	Lavie T, Tractinsky N. Assessing dimensions of perceived visual aesthetics of web sites. International Journal of Human-Computer Studies. 2004;60(3):269-298. doi:10.1016/j.ijhcs.2003.09.002	https://www.sciencedirect.com/science/article/abs/pii/S1071581903001642	four empirical scale-development studies	HCI / aesthetics	website users	original study context not culturally broad	LAVIE-TRACTINSKY-2004	primary	W1-AES-001	Distinguishes classical/order-clear aesthetics from expressive/creative-original aesthetics.
S008	W3	Tractinsky N, Katz AS, Ikar D. What is beautiful is usable. Interacting with Computers. 2000;13(2):127-145. doi:10.1016/S0953-5438(00)00031-X	https://www.sciencedirect.com/science/article/pii/S095354380000031X	controlled experiment	HCI / aesthetics	ATM-like computerized application	limited cultural scope	TRACTINSKY-2000	primary	W1-AES-001	Found strong aesthetics-perceived-usability relationship; retained as support for coupling, not causal universality.
S009	W3	Tuch AN, Roth SP, Hornbæk K, Opwis K, Bargas-Avila JA. Is beautiful really usable? Computers in Human Behavior. 2012;28(5):1596-1607. doi:10.1016/j.chb.2012.03.024	https://www.sciencedirect.com/science/article/pii/S0747563212000908	controlled experiment	HCI / aesthetics	80 participants using online shop	limited cultural scope	TUCH-2012	primary	W1-AES-001	Aesthetics did not affect perceived usability; usability affected post-use aesthetics. Material counterevidence to a simple beauty→usability rule.
S010	W2;W3	Khashman N. Arabic web interface design through the eyes of Hofstede. ASIS&T Proceedings. 2012/2013. doi:10.1002/meet.14504901369	https://asistdl.onlinelibrary.wiley.com/doi/full/10.1002/meet.14504901369	comparative content analysis	cross-cultural HCI	100 ministry web interfaces across 10 Arab countries	Arabic; regional/national variation; institutional context	KHASHMAN-ARAB-WEB	primary	W1-HIE-001;W1-AES-001	Hofstede-derived predictions did not fully reflect observed interface characteristics; evidence against treating Arab countries as a single deterministic design culture.
